reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
15,2,295.9,6812.1,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,
15,3,300,6913.12,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,EH,
15,1,283.1,6050.4,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
15,2,293.2,6368.5,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
15,3,289,6440.5,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),EH,
15,1,282.6,6830,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
15,2,292.1,6040,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
15,3,294.2,5770,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),EH,
15,1,252.6,6220,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,
15,2,261.1,5050,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,
15,3,234.8,5340,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,EH,
15,1,335.5,8110,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,
15,2,327.7,7810,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,
15,3,328.5,8740,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,EH,
15,1,396.1,10160,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,
15,2,340.3,7430,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,
15,3,309.4,9250,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,EH,
