reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
15,1,294.63,6422.49,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
15,2,296.13,6702.62,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
15,3,296.04,6632.22,,,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",CEP,
15,1,298.76,6738.83,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
15,2,296.6,6660.32,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
15,3,298.86,6573.55,,,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,CEP,
15,1,289.09,6211.85,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
15,2,294.4,6548.46,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
15,3,291.03,6429.09,,,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),CEP,
15,1,319.33,7600,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
15,2,290.8,6230,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
15,3,322.69,7640,,,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),CEP,
15,1,254.94,4450,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,
15,2,261.41,3870,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,
15,3,293.89,5410,,,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,CEP,
15,1,282.44,4550,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,
15,2,280.37,4400,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,
15,3,245.38,4300,,,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,CEP,
15,1,267.59,5070,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,
15,2,257.02,4390,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,
15,3,237.68,3930,,,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,CEP,
